Region,TimeDiff,R1-OCC,R1Light,R1-Temp,"R1_Corr(O,Temp)",R2-OCC,R2Light,R2-Temp,"R2_Corr(O,Temp)",R3-OCC,R3Light,R3-Temp,"R3_Corr(O,Temp)",R4-OCC,R4Light,R4-Temp,"R4_Corr(O,Temp)",R5-OCC,R5Light,R5-Temp,"R5_Corr(O,T)"
2,8910,9,0,20.37,0.5,-9,0,20.31,0,5,0,19.56,0.5,4,0,21.37,0.5,4,0,22.25,1
2,1222,10,0,20.69,0.5,-10,0,20.62,0,5,1,19.69,0.5,4,0,22.06,1,4,0,22.56,1
4,10156,9,0,20.69,0.5,-10,0,20.62,0,5,0,19.69,0.5,5,1,22.06,1,5,0,22.56,1
5,10216,9,0,20.56,0.5,-10,0,20.62,0,5,0,19.69,0.5,4,0,21.94,0.5,4,0,22.56,1
5,67,9,0,20.62,0.5,-10,0,20.62,0,5,0,19.75,0.5,5,0,22,1,5,0,22.56,1
4,132,10,0,20.69,0.5,-10,0,20.62,0,5,0,19.75,0.5,4,1,22,1,4,0,22.56,1
2,152,9,0,20.69,0.5,-9,0,20.62,0,5,0,19.75,0.5,4,0,22,1,4,0,22.56,1
2,53,10,0,20.62,0.5,-10,0,20.62,0,5,0,19.75,0.5,4,0,22,1,4,0,22.62,1
4,62,9,0,20.62,0.5,-10,0,20.62,0,5,0,19.75,0.5,5,0,22,1,5,0,22.62,1
4,3,9,0,20.62,0.5,-10,0,20.62,0,5,0,19.75,0.5,5,0,22,1,5,0,22.62,1
4,1,9,0,20.62,0.5,-10,0,20.62,0,5,0,19.75,0.5,5,0,22,1,5,0,22.62,1
4,4,9,0,20.62,0.5,-10,0,20.56,0,5,0,19.75,0.5,5,0,22,1,5,1,22.62,1
2,60,8,0,20.69,0.5,-9,0,20.62,0,5,0,19.75,0.5,5,0,22.06,1,5,0,22.69,1
2,86,9,0,20.69,0.5,-10,0,20.62,0,5,0,19.75,0.5,5,1,22.12,1,5,0,22.69,1
4,134,8,0,20.69,0.5,-10,0,20.62,0,5,0,19.75,0.5,6,0,22.12,1,6,0,22.69,1
